,article_text,persons,organizations,url
45,"A Haryana Civil Service officer posted in Panchkula was arrested on Thursday for allegedly molesting a woman employee. âReagan Kumar, administrative officer-cum-secretary and CEO of Utkarsh Society, Secondary Education Department, was arrested for allegedly molesting a women employee,â said R.S. Meena, Deputy Commissioner of Police, Panchkula. The woman in her complaint alleged that on May 28 the officer called her to his cabin and offered her coffee, which she refused. The next day, he summoned her to his cabin and tried to sexually assault her. The woman lodged a complaint with the police following which the officer was booked and a preliminary investigation was started. A case was registered against him under Sections 354-A and 354-D of the IPC.","Reagan Kumar, R.S. Meena, Panchkula","Haryana Civil Service, Utkarsh Society",-
46,"Two statues of Dalit icon Bhimrao Ramji Ambedkar was vandalised in Uttar Pradesh on Friday night and Saturday. One statue was found with its head chopped off at a park in Allahabadâs Trivenipuram locality today and the other B R Ambedkar statue was damaged in Siddharthnagar's Gohaniya last night. ""We are aware of the matter and are trying to locate the suspects,"" said Senior Superintendent of Police (SSP) Allahabad Aakash Kulhari, according to news agency IANS.",Bhimrao Ramji Ambedkar,IANS,-
47,"Chennai: Unidentified men Friday allegedly hurled petrol bombs at the house of a local DMK functionary in Central Chennai parliamentary constituency damaging a car parked there, police said. An FIR has been registered, police said, adding CCTV footage showed the suspects were wearing helmets and moving toward the house of the functionary. ""No casualties have been reported. Investigation is on,"" a police officer said. A car parked in the house was damaged in the incident, police said. DMK candidate in Central Chennai Lok Sabha seat and former union minister Dayanidhi Maran condemned the incident saying it was to impede the party's poll prospects in the April 18 elections. He accused allies of AMMK leader TTV Dhinakaran of being behind the attack.",Dayanidhi Maran,CCTV,-
48,"A Central Reserve Police Force (CRPF) trooper was injured on Friday in a petrol bomb attack here. Police said unidentified persons hurled the bomb at a CRPF bunker in Gojwara area of Srinagar's old city.""One CRPF jawan sustained minor injuries and has been shifted to hospital,"" a police official said.",,CRPF,-
49,"Balasore: Accusing the headmaster and physical education teacher of torturing and misbehaving with girl students at Janardhan High School of Barbatia village under Bhogarai block in Balasore, locals staged a protest in front of the school today. Apart from harassing girls, the locals also alleged that teachers used to consume alcohol inside the school premises. âBoth the headmaster and physical education teacher used to physically torture the girl students since long and we want them to be immediately transferred,â a Barabatia resident, Ajay Kumar Pal, said.",Ajay Kumar Pal,Janardhan High School,-
50,"At around 6:00 pm today, BJP supporters allegedly vandalised and destroyed properties of the Congress party office building located at Khangabok Part-II, Mayai Leikai. In the process, a scuffle ensued between the BJP and Congress party supporters which resulted in injuries to three Congress supporters while a female supporter who sustained severe injuries is currently undergoing treatment at Shija Hospital. The female who is undergoing treatment has been identified as Khundrakpam Pushpa, 17, daughter of Kunjeshor of Lai Lam Thokpham, Khangabok part-II. The three injured were first admitted to Thoubal District Hospital; however, the severance of the injuries sustained by Khundrakpam Pushpa led to her referral to Shija Hospital while the other two have been discharged after treatments. It may be especially mentioned that the tensions and violence erupted due to alleged reports that BJP supporters were denying Congress supporters from casting their votes while also denying the Congress party agent to be present in the polling station.","Mayai Leikai, Lai Lam Thokpham, Khundrakpam Pushpa","BJP, Congress",-
51,"ITANAGAR, April 12 - One person died in poll-related violence at Nyapin in Kurung Kumey district of Arunachal Pradesh, police said today. The man, said to be a supporter of the ruling BJP, had sustained grievous injuries in a clash on polling day on Thursday. Inspector General of Police and State Nodal Officer (Election) Sunil Garg today said the man was rushed to a hospital where he succumbed to his injuries.",Sunil Garg,BJP,-
52,"Accusing the ruling Trinamool Congress of rigging in the Cooch Behar Lok Sabha seat during the first phase of polling in West Bengal on Thursday, BJP candidate Nishit Pramanik held a sit-in protest in front of the district magistrate's office and demanded a re-poll in 500 booths where state police was deployed. Pramanikâs accusation came as central police observer Vivek Dubey expressed his satisfaction on the first phase of Lok Sabha polling in Alipurduar and Cooch Behar constituencies. Pramanik alleged rigging in nearly 500 booths where state police was deployed. Pramanikâs security guards even had a scuffle with the local police when they went to lift the dharna. BJP candidate from Alipurduar John Balra also complained of rigging by TMC workers in some of the booths. âWe want re-polling in nearly 500 booths due to massive rigging by the TMC cadres. If our demands are not met, then we will go for a massive protest,â Pramanik threatened.","Vivek Dubey, Cooch Behar, Alipurduar John Balra","Trinamool Congress, BJP, Lok Sabha, TMC",-
53,"After farmers were stopped from organising a crop insurance rally on Wednesday owing to PM Modiâs rally in Saurashtra, about 300 farmers gathered at Bahumali Bhavan at 11 am on Thursday and tried to proceed to the Collectorâs office. The situation turned tense after the farmers were stopped from going ahead and the police had to detain 34 people, including 26 men and 8 women. Rajkot Joint Commisioner of Police Siddharth Khatri said that 34 people were detained and later released without any offence registered against them.",Siddharth Khatri,,-
54,"Hyderabad: Former MP and YSRCP General Secretary YV Subba Reddy on Thursday demanded that the TDP MLAs and MPs who resorted to violence during the polling should be arrested and disqualified from the elections. He urged the Election Commission to take action in this regard. Speaking to the media at the YSRCP office in Hyderabad on Thursday, he mentioned that Eluru constituency TDP candidate and sitting MLA Badeti Bujji attacked former deputy mayor, former corporator and four others belonging to YSRCP party. Stating that the police didn't respond to these attacks, YV Subba Reddy also added that TDP leader and Rajya Sabha member CM Ramesh attacked YSRCP agents in polling booths at Jammalamadugu and Proddatur constituencies of YSR district. Several MLAs, MPs from TDP launched attacks on YSRCP activists and agents in other districts. Seeking the arrest of MLAs and MPs who were involved in these attacks, Subba Reddy also demanded their disqualification from the elections. He further lashed out at the yellow media for blaming YSRCP leaders in these attacks and damaging and EVMs in polling booths. The YSRCP leader further sought action against the media channels who are indulging in false propaganda.","YV Subba Reddy, Badeti Bujji, Subba Reddy, Ramesh","Election Commission, TDP",-
55,"Lok Sabha candidate of Jana Sena Party (JSP), Madhusudan Gupta, on Wednesday broke an Electronic Voting Machine (EVM) at a polling booth in Gooty town here alleging that the names of Assembly and Lok Sabha seats had not been properly displayed in the voting chamber. Gupta reached the polling station at Girls' Higher School in Gooty which falls under Guntakal Assembly constituency, this morning. He alleged that the names of Assembly and Lok Sabha seats had not been properly displayed in the polling chamber. Election officials tried to pacify him but an angry Gupta threw an EVM on the floor and broke it. He was later taken into police custody.","Madhusudan Gupta, Gupta","Jana Sena Party, JSP, Electronic Voting Machine, Girls' Higher School, Guntakal Assembly",-
56,"Demanding regular jobs, Members of the Punjab UT Mulazam and Pensionersâ Sangharsh Committee staged a protest in front of the district administrative complex here on Thursday. The protesters also carried out a march from the administrative complex to Finance Minister Manpreet Badalâs office. They also submitted a memorandum of demands to the tehsildar.The protesters raised slogans against the state government and the Finance minister Mapreet Singh Badal. The march passed through Bus Stand Chowk, Court Road and Hanuman Chowk. The protesters said the state government had been ignoring their pending demands for a long time. ","Mapreet Singh Badal, Hanuman Chowk",Sangharsh Committee,-
57,"Fatehgarh Sahib.April.11, 2019: Punjab Rice Millers Association led by Tarsem Saini National President & Inderjeet Sandhu District President organized a dharna at FCI depot Sirhind today in protest against the Area Manager of the FCI of Chandigarh zone alleging that he has been demanding bribe, blackmailing and harassing the Rice Millers functioning under his jurisdiction on one pretext or the other for the procurement of Rice for his vested interests. They raised slogans against the Area Manager and FCI management and demanded vigilance enquiry against him.",Rice,FCI,-
58,"Krishna, Andhra Pradesh , Apr 11 (ANI): In Andhra Pradesh, malfunctioning of electronic voting machines (EVMs) disrupted the polling briefly in some constituencies. The polling at Kanchikacherla village of Krishna district had to be halted till the machines were rectified or replaced. Voting was delayed at booth numbers 196, 198 and 200 of the region. Not only in Kanchikacherla village, voters at booth number 154 in Rajam town of Srikakulam district had to wait for some time to exercise their franchise because of a technical glitch in the Voter Verifiable Paper Audit Trail (VVPAT) unit installed there. In Pulivendula Assembly constituency, several reserved employees staged a protest against the Returning Officer, demanding his suspension, for sidelining them and giving duties to private employees. Voting is taking place in a single phase for the 25 Lok Sabha and 175 Assembly seats in Andhra Pradesh. The counting of votes will take place on May 23.","Krishna, Andhra Pradesh",,-
59,"SAD-BJP workers and leaders today staged a novel protest over the alleged ânon-performanceâ of the Congress government, and specifically to mock the sitting Lok Sabha member Ravneet Singh Bittu, by offering prayers and floral tributes to non-operational buses from out of the fleet of local buses, at Tajpur Road here. Led by district president of the party and former legislator Ranjit Singh Dhillon, the Akali workers ridiculed Bittu for staging a political drama for non-operational buses five years ago â in November 2014, when he had washed these. Dhillon said Bittu had been a member of the Lok Sabha for the past five years and both state government and the MC were under the Congress for nearly two years, not even a single non-operational bus had been put into service.","Ravneet Singh Bittu, Ranjit Singh Dhillon, Bittu, Dhillon","Congress, Akali",-
60,"Amroha: Samajwadi Party (SP) president and former UP Chief Minister Akhilesh Yadav on Thursday claimed to have knocked out the BJP in the first round of Lok Sabha polls itself. ""We have knocked out BJP in the first round of polls itself. People are voting heavily in favour of the grand-alliance and we are expecting even larger support for the grand-alliance in the second phase,"" the SP chief said. Accusing BJP of spreading hatred in the society, the former Chief Minister said, ""We want to stop the BJP because they spread hatred in the society. We are going to snatch the post from ""Chowkidar"" in this election."" Akhilesh Yadav also accused Prime Minister Narendra Modi of snatching the rights of backward classes. The former Chief Minister also termed Yogi Adityanath as ""Baba Chief Minister"" of the state.","Akhilesh Yadav, Narendra Modi, Yogi Adityanath","Samajwadi Party, BJP",-
61,"Congress workers and party leaders observed a âBlack Dayâ against the merger of Vijaya Bank (now Bank of Baroda). The protest was held in front of the Vijaya Bank Mallikatte branch on Monday. The protesters wore black badges. Addressing the protest Congress candidate from Dakshina Kannada Lok Sabha constituency Mithun Rai said Vijaya Bank was a victim of dictatorship. âBy feeding false information to people of Dakshina Kannada about saving Vijaya Bank, MP Nalin Kumar Kateel has fooled people of the district. April 1 is a âBlack Dayâ for the people of Dakshina Kannada, as Vijaya Bank which launched in the district ceases to exist,â he said. ","Mithun Rai, Nalin Kumar Kateel","Congress, Vijaya Bank, Bank of Baroda, Vijaya Bank Mallikatte, Dakshina Kannada Lok Sabha",-
62,"One person was killed and three others were injured after villagers in Jharkhand's Gumla district beat them up, alleging that they were cutting flesh of a dead bull, police said. The incident reportedly occurred on Wednesday, 10 April.
The deceased has been identified as Prakash Lakra.
Deputy Inspector General of Police A V Homkar said a group of people in Jurmi village spotted four persons allegedly cutting the flesh of a dead bull and started beating them up. One of them died, he said.

The incident reportedly occurred around 20 km from Dumri police station, bordering Chhattisgarh, Homkar told The Indian Express.

Superintendent of Police in Gumla Anjani Kumar Jha said that an FIR has been registered and the investigation was underway.

No arrests have been made in connection with the case yet, reported PTI.

The injured persons have been admitted to the Sadar Hospital in the area.","Prakash Lakra, Homkar, Gumla Anjani Kumar Jha",PTI,-
63,"Suspected militants on Saturday shot dead a civilian in Baramulla district of Jammu and Kashmir, police said. The alleged terrorists fired upon Arjumand Majid Bhat at main town Baramulla in the north Kashmir district, a police officer said. Bhat was critically injured and taken to a hospital where he succumbed to his injuries.","Arjumand Majid Bhat, Bhat",,-
64,"KISHTWAR, Mar 30: A Head Constable of Jammu and Kashmir Police presently on leave identified as Asghar Ali Ahanger Son of Nazir Ahmed, posted in security wing Jammu was today evening assaulted by a Patwari identified as Jaffar Bhatt S/O Ghulam Mohammad Bhatt R/o Gudhali chowk Kishtwar presently posted ashalka patwar ""Bagna"" Kishtwar in which the head constable has received injuries. As per the details available with Early Times, the issue behind the incident is said to be some land dispute involving the relative of the Head Constable. The reports said that after hearing about the forceful entry of the accused into the home of the relative of the victim, the victim cop rush to the spot to intervene as the accused was carrying the Sharp edge weapon and as soon as the police HC tried to protect his relatives, the accused Patwari tried to assault him by some sharp edged weapon on his head which was blocked by him as a result of which he received injury in his arm.","Asghar Ali Ahanger Son of Nazir Ahmed, Patwari, Jaffar Bhatt, Ghulam Mohammad Bhatt",,-
65,"Khan Srinagar, March 30 (GNS): Two youth, riding a motorcycle, were injured when army opened fire at them after they allegedly ignored a signal to stop at Bandzoo area of Pulwama in south Kashmir. A police officer said at around 18:15 hours, army signaled to stop a motorcyclist along with pillion at Bandzoo Pulwama. The motorcyclist ignored the signal and tried to flee from the spot after which army fired few gunshots due to which they suffered injuries. The injured were identified as Shahid Farooq and Suhail Ahad Dar. And the motorcycle as Shahid Farooq son of Farooq of Prichoo Pulwama. Both have been shifted to Srinagar hospital for specialized treatment. (GNS)","Shahid Farooq, Suhail Ahad Dar, Farooq",,-
66,"A BJP worker was killed on Sunday, allegedly by Naga insurgent group National Socialist Council of Nagaland (NSCN-IM) in poll-bound Arunachal Pradesh. Seliam Wangsa, a zila parishad member from Nginu block, had been campaigning in support of Honchun Ngandam, a BJP candidate from Pongchao-Wakka assembly constituency. Wangsa was killed at his residence in Nginu village near Wakka Circle in Longding district. ","Seliam Wangsa, Honchun Ngandam, Wangsa","BJP, Naga",-
67,"Suspected militants on Wednesday shot dead a civilian in Shopian district of Jammu and Kashmir, police said. Militants fired upon Tanveer Ahmad Dar, a resident of the Bemnipora area of south Kashmir's Shopian district, near Kachdoora village in the afternoon, a police official said.",Tanveer Ahmad Dar,,-
68,"Ghaziabad: A Bahujan Samaj Party (BSP) worker was on Tuesday shot dead by unidentified miscreants in Uttar Pradesh's Ghaziabad district. According to news agency PTI, the deceased, identified as Shabbir Zaidi was fired upon by the attackers when he was out for a morning walk in Uttaranchal Vihar colony of Loni town around 6:15 am, police said. The assailants physically assaulted Zaidi and then fired bullets into his head and stomach, Superintendent of Police (Rural) Neeraj Kumar Jadaun said, citing property dispute as the reason of the attack.","Shabbir Zaidi, Loni, Zaidi, Neeraj Kumar Jadaun","Bahujan Samaj Party, BSP, PTI",-
69,"Former chairman of Anandpur block and independent MLA candidate in the 2014 assembly election from Ghasipura Ramachandra Behera was hacked to death by a group of miscreants at Dhakotha village on Monday late night. Sources said, more than 10 miscreants arrived at the residence of Behera at about 10.30 pm and asked him to open the door. They attacked him with sharp weapons after he opened the door. A critically injured Behera was rushed to nearby Anandpur hospital. He, however, succumbed to his injuries on the way to SCB Medical College and Hospital at Cuttack. A former supporter of independent MLA from Champua Sanatan Mahukud, Behera had a strong political background in Ghasipura. He was supposed to join BJD along with his supporters on Tuesday.","Ghasipura Ramachandra Behera, Behera","MLA, BJD",-
70,"The husband of an NCP corporator was hacked to death in Maharashtras Beed district on Monday, allegedly by a mob that suspected he was helping the Shikalgar community in a kidnapping case, police said. Pandurang Gaikwad, 50, was attacked with swords, sickles and sticks in Phule Nagar area of Parli-Vaijnath town in the district, 470 kilometres from here, an official said. Gaikwad sustained serious injuries in the attack in the early hours of Monday. He was rushed to hospital but was declared dead on arrival, the official said.",Pandurang Gaikwad,NCP,-
71,"A BJP legislator in Uttar Pradesh was shot at in Lakhimpur Kheri district on Thursday, the police said. Lakhimpur MLA Yogesh Verma suffered a bullet injury on the leg when an unidentified person shot at him around 3 p.m. The BJP leader was returning to his residence in Rajgarh area from office, a police officer said. The attacker fled.Mr. Verma was rushed to a hospital, where his condition was stated to be out of danger, the police said.","Yogesh Verma, Verma",BJP,-
72,"Two members of a family were killed and two others sustained injuries after cadres of the Peoples Liberation Front of India (PLFI), a splinter group of the Communist Party of India-Maoist (CPI-Maoist), barged into their house in Turundu village under Kamdara Police Station in Gumla District of Jharkhand, and opened fire hours after Holi festivities concluded on March 21, reports The Pioneer. Ramvilas Gope and Laxman Lohra died on the spot, while Gopes wife, Lilavati Devi and her son Tulsi Kumar sustained critical injuries, Superintendent of Police (SP), Anjani Kumar Jha, said. Devi told the Police that there was no rivalry between her family and the PLFI cadres, however, Police, suspect that refusal in payment of levy (extortion amount) might be a probable reason for the attack.","Ramvilas Gope, Laxman Lohra, Gope, Lilavati Devi, Tulsi Kumar, Anjani Kumar Jha, Devi","Liberation Front of India, Pioneer, PLFI",-
73,"Fatehgarh Sahib, March 20,Three persons were critically injured in a clash that ensued after the brutal killing of a stray bull allegedly by family members of former sarpanch Amandeep Kaur at Sikandarpur village in Bassi Pathana subdivision. Residents of the village, led by advocate Manvir Singh Dhindsa and his father Sukhdarshan Singh Dhindsa, former member of the Planning Board, objected to the brutality on animal. This led to heated arguments and the alleged killers of the bull attacked family members of the lawyer and injured the father-son duo and their domestic help by hitting them on their heads. They were rushed to the Civil Hospital.","Fatehgarh Sahib, Amandeep Kaur, Manvir Singh Dhindsa, Sukhdarshan Singh Dhindsa","Planning Board, Civil Hospital",-
74,"A BJP panchayat president in Assam has been shot dead and another party worker critically injured by unidentified gunmen in Cachar district ahead of the three-phase Lok Sabha polls in the State next month, police said on Wednesday. Unidentifed gunmen opened fire at Sukhendu Das, the president of Borkhola Hatichora panchayat, in front of his residence in the village on Tuesday night in which he and another person was grievously injured. The two were rushed to Silchar Medical College Hospital, where Mr. Das succumbed to his injuries. The injured person, who was identified as Rinku Senapati, was admitted to the intensive care unit where his condition was stated to be critical. The police rushed to the spot and launched a search to nab the culprits. Chief Minister Sarbananda Sonowal has condemned the incident and directed the authorities to take measures and arrest those responsible for the killing at the earliest.","Rinku Senapati, Sarbananda Sonowal","BJP, Lok Sabha, Borkhola Hatichora",-
75,"GUNTUR: Stray clashes between TDP and YSRC supporters continued in some places of Guntur district even on Friday, a day after the polling was held in the State. Cases were registered at four different places, where clashes took place.

Tension had prevailed in some villages in Gurajala, Narasaraopet and  Chilakaluripet Assembly constituencies where the TDP and YSRC supporters attacked each other after completion of polling on Thursday. The TDP and YSRC activists clashed at Gurajala, Julakallu, Tungapadu and Irlapadu villages in different constituencies. TDP activists pelted stones on Satyanarayana Theatre run by YSRC leaders, who in turn pelted stones on the TDP group at Gurajala.

The police resorted to lathi-charge to disperse the clashing groups. Further, they deployed additional force to restrain people from indulging in untoward incidents in the rural town of Gurajala. A group of YSRC activists, as per reports, attacked a woman, who did not exercise her franchise at Jullakallu in Piduguralla mandal of the same Assembly segment. TDP activists lodged a complaint with the police and later as a retaliatory measure, they also pelted stones on YSRC activists.

Both these groups clashed against each other again in the early hours of Friday. Damacherla Vasu, Damacherla Dhanunjay and Damacherla Nagarjuna of YSRC were injured in the incident. All the injured were taken to a private hospital.

Sattenapalli DSP V Kaleshvali Rao rushed to the spot, along with Piduguralla urban CI P Veerendra, and brought the situation under control. Additional force was deployed to dissuade people from being party to untoward incidents and people were warned that the police would take stern action against anti-social activities in the village.

A villager said that YSRC activists carried out an attack on a TDP worker. As a result of this, a group of 20 TDP activists attacked YSRC supporters while they were having tiffin at a hotel at Julakallu. Four persons were injured in the incident and were immediately shifted to hospital.  Meanwhile, TDP and YSRC groups clashed at Irlapadu of Chilakaluripet Assembly constituency. The YSRC activists carried out an attack on TDP cadre on Thursday night and two persons sustained minor injuries and they lodged a complaint with the police. After complaining to the police, the TDP activists too attacked YSRC men in retaliation.","GUNTUR, Damacherla Vasu, Damacherla Dhanunjay, Damacherla Nagarjuna, Kaleshvali Rao, Veerendra",YSRC,-
76,"In a sensational incident, just a day ahead of Sikkim going to Parliamentary as well as state Assembly polls, an SDF supporter has been allegedly murdered at Tadong near Gangtok.

The deceased has been identified as Panchaman Rai. No arrests or any breakthrough into the alleged murder has been made as of yet.

It may be mentioned that Tadong is the constituency of Hamro Sikkim Partys President, Bina Basnett.","Panchaman Rai, Bina Basnett","SDF, Hamro Sikkim Party",-
77,"It was reported that the GNLF leader was attacked by miscreants in Kalimpong. In Kalimpong, the GNLF leader Aditya Rai had gone for a football practice in the local area around 5:30 am this morning. It is alleged that during the same time, three miscreants attacked him with sharp weapons.

GNLF leader was seriously injured in the attack of miscreants. After this, the people of nearby areas reached the scene after hearing the screams,due to which the accused escaped from there.

People have admitted him in a seriously injured condition to a nursing home located at Siliguris Sector Road. Right now he is undergoing treatment.

Meanwhile, a complaint has been lodged to the police on behalf of Aditya Rais family members, on the basis of which the police is investigating",Aditya Rai,,-
78,"NEIDP candidate for Outer Manipur constituency Ashang Kasar who had earlier claimed to have received threats for contesting polls has now alleged that suspected NSCN-IM insurgents tried to abduct him while he was on a campaign trail in Senapati area.

Briefing media persons, Kasar claimed that 4-5 people equipped with arms tried to stop him after a meeting in Senapati and attempted to forcibly get him inside their vehicle.

However, after a brief confrontation with Kasar, his supporters intervened and secured him from the clutches of the kidnappers. Soon after Kasar rushed to Senapati Police Station for safety.

NEIDP also made a serious allegation that the NSCM(IM) has been threatening citizens young and old to vote for parties like NPF & NFP and said that parties like the NPF should be banned & boycotted in Manipur.","Ashang Kasar, Kasar","Senapati Police Station, NPF & NFP, NPF",-
79,"SRINAGAR, Apr 4: A panchayat member who was critically injured after being shot at in Kulgam last evening succumbed to his injuries in hospital here.
Abdul Majeed Dar, who was formerly associated with the Peoples Democratic Party, succumbed at around 11:30 PM at SMHS hospital in Srinagar.
Reports said Dar was shot at by masked gunmen last evening at Shalipora village of Katrasoo following which he was shifted to a local hospital.
Majeed was a panch and had contested as an independent candidate. Police said he was killed by militants.","Abdul Majeed Dar, Majeed",Peoples Democratic Party,-
80,"Kadapa: With less than a week to go for the elections, 40 policemen searched the houses of the Telugu Desam MP Mr C.M. Ramesh and his neighbours. This marks yet another action against a Telugu Desam leader in the run-up to the elections.

Later, Andhra Pradesh Chief Minister N. Chandrababu Naidu sat on a dharna to protest income-tax raids on party leaders.

Mild tension built up in Potladurthi village where Mr Rameshs house is located when the MP objected to the search and asked for a warrant. The Yerraguntla urban inspector Mr B. V. Ramana, who was heading the team, replied that they were on election duty and did not need a warrant.

Mr Ramesh immediately called the superintendent of police Mr Abhishek Mohanty, who reportedly replied, Let them do their duty.

Mr Ramesh then allowed the police to enter his house.

Mr Mohanty recently replaced Mr Rahul Dev Sharma, whose transfer was ordered by the Election Commission.","C.M. Ramesh, N. Chandrababu Naidu, Ramesh, Mr B. V. Ramana, Abhishek Mohanty, Mohanty, Rahul Dev Sharma",Election Commission,-
81,"New Delhi: YSR Congress president Jagan Mohan Reddy was stabbed just below the shoulder on his arm at the Visakhapatnam airport on Thursday. 

Jagan, who is the leader of opposition in Andhra Pradesh, was leaving the lounge to board the flight to Hyderabad when a man approached him to take a selfie and attacked him with a knife that is generally used in cockfights, injuring him on the left shoulder.

The attacker, identified as one J Shrinivas Rao, works as a chef at a restaurant at the same airport, police said. 


The police immediately swung into action and took him into custody. Andhra Pradesh DGP RP Thakur said that the CISF personnel apprehended the attacker and handed him over to the AP police. 

Thakur said Reddy suffered a small injury on his left shoulder and was given first aid. Hes safe. He has taken a flight to Hyderabad,he said. 

The DGP said that a letter was found in the attackers pocket, showing that he was a YSRCP worker. ","Jagan Mohan Reddy, Jagan, J Shrinivas Rao, Thakur, Reddy","YSR Congress, CISF, AP, YSRCP",-
82,"IMPHAL: A constable suspended for his links with a fugitive militant chief died in police custody on Saturday evening.

Manjur Ahmed (34), from Yairipok Ningthoumanai in Thoubal district, was posted at the Imphal East Police reserve line. He was suspended on March 12 on charges that he was associated with militant leader Thokchom Nando.

Recommended By ColombiaThe rebel chief led the banned Kangleipak Communist Party (Mangal/Nando) and had been in jail since 2003 on several charges, including kidnapping and murdering the eight-year-old daughter of former minister Francis Ngajokpa. Last Tuesday, Nando escaped from the heavily guarded security ward of Jawaharlal Nehru Institute of Medical Sciences (JNIMS) in Imphal East, where he was undergoing treatment.

A day later, Ahmed was picked up by police. He died in custody on Saturday evening after being tortured during interrogation, Ahmeds brother Anwar Hussain said.

The government has ordered a magisterial inquiry into his death. The district magistrate of Imphal East will conduct the inquiry into the circumstances leading to his death, a statement issued by the state home department said, setting a one-month deadline for submission of the report.

Locals have set up a Joint Action Committee against Ahmeds custodial death and made four demands  FIR against culprits, fitting punishment for them in 24 hours, CBI probe into the case and postmortem examination of Ahmeds body within 24 hours in the presence of two members of the committee and the head of the JNIMS forensics department.

If the government fails to meet these demands, the local pressure group has said, a mass meeting will be convened to discuss the next course of action.

Latest CommentSuch accident is nature under the BJP rule states . Making scapegoat is done to the minority.Liyakat SaribAn Imphal court, meanwhile, reserving the conviction order in the murder case Nando has been accused of, has issued a non-bailable arrest warrant against him. Police have declared him a wanted man and announced a cash reward of Rs 1 lakh for anyone who can provide information leading to his arrest.

Ahmeds is the third custodial death in Manipur in four months. In December, five policemen were suspended after an auto driver from Thoubal died in custody. In February, a villager at Keibul died in custody after being arrested by Keibul Police on charges of killing a wild boar. In both cases, locals said the detainees had been tortured to death.","Manjur Ahmed, Thokchom Nando, Francis Ngajokpa, Nando, Ahmed, Anwar Hussain, Keibul","Imphal East Police, Kangleipak Communist Party, Joint Action Committee, CBI, JNIMS forensics department, BJP, Keibul Police",-
83,"supporters at Amdanga in North 24-Parganas, 40 kilometres from Kolkata. Miscreants hurled bombs at his car while he was touring the villages. He was later rescued by the police.

 At least 20 people including six policemen were injured in the violence that broke out late in the night on Wednesday and continued till Thursday. Political rivals ransacked around 80 houses, looted several shops, and damaged two police vehicles, rendering more than 150 people homeless, a day before the district goes to the polls on Friday. Sources said some policemen's purses and mobiles were also stolen and the bike of a journalist was damaged and thrown into a pond.
  A large police contingent including RAF and Combat forces have been deployed in the area. Eight people have been arrested. Central paramilitary forces are patrolling the villages on the boil - Bahirgachia, Dogachia ,Dakshinpara and Haldarpara.",Dakshinpara,RAF,-
